CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,Email,loyalty_category
301,Female,Lilly Harding,WANDEARAH EAST,SA,South Australia,5523,Australia,Australia,1939-07-03,56,lilly301@gmail.com,Premium
325,Female,Madison Hull,MOUNT BUDD,WA,Western Australia,6522,Australia,Australia,1900-01-01,46,madison325@gmail.com,Standard
786,Male,Jai Poltpalingada,MIDDLE RIVER,SA,South Australia,5223,Australia,Australia,1957-09-17,68,jai786@gmail.com,Premium
1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,1900-01-01,60,aidan1042@gmail.com,Premium
1086,Male,Hayden Clegg,TEMPLERS,SA,South Australia,5371,Australia,Australia,1954-01-20,71,hayden1086@gmail.com,Premium
1133,Male,Nicholas Caffyn,JUBILEE POCKET,QLD,Queensland,4802,Australia,Australia,1900-01-01,56,nicholas1133@gmail.com,Premium
1256,Male,Lincoln Jenks,KULLOGUM,QLD,Queensland,4660,Australia,Australia,1900-01-01,75,lincoln1256@gmail.com,Premium
1314,Male,Isaac Israel,EDITH RIVER,NT,Northern Territory,852,Australia,Australia,1965-12-21,56,isaac1314@gmail.com,Premium
1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,1900-01-01,56,luke1568@gmail.com,Premium
1626,Female,Mary Leach,NEDS CORNER,VIC,Victoria,3496,Australia,Australia,1985-10-17,40,mary1626@gmail.com,Standard
1642,Female,Ruby Ambrose,TARLO,NSW,New South Wales,2580,Australia,Australia,1965-03-03,60,ruby1642@gmail.com,Premium
1677,Male,Dean Innes,ELLESMERE,QLD,Queensland,4610,Australia,Australia,1964-11-22,61,dean1677@gmail.com,Premium
1817,Female,Laura Le Rennetel,BEAUCHAMP,VIC,Victoria,3579,Australia,Australia,1986-07-10,56,laura1817@gmail.com,Premium
1863,Female,Chelsea Watkins,NAMBOUR DC,QLD,Queensland,4560,Australia,Australia,1984-09-22,56,chelsea1863@gmail.com,Premium
1945,Male,Angus Beaurepaire,GREENFIELDS,WA,Western Australia,6210,Australia,Australia,1900-01-01,51,angus1945@gmail.com,Premium
2238,Female,Isabelle Cochran,BRUCKNELL,VIC,Victoria,3268,Australia,Australia,1969-10-31,56,isabelle2238@gmail.com,Premium
